id	name	symbol	name_synonyms	symbol_synonyms	description	genes	refs	GO_CC	GO_BP	GO_MF
FBgg0000608	MKS COMPLEX	MKS	B9 complex|Meckel syndrome module|MKS Module|Tectonic complex	-	The MKS complex or module is protein complex located at the ciliary transition zone. It is involved in the assembly of transition zone components. (Adapted from FBrf0233737 and FBrf0233580).	Q9VF59,M9MRD5,A1ZAV1,Q9VYM3,Q9VMH0	27577095,27646273	MKS complex ; GO:0036038	cilium assembly ; GO:0060271	-
FBgg0000283	MALE SPECIFIC LETHAL COMPLEX	MSL	Compensasome|Dosage compensation complex|MSL complex	-	The Male Specific Lethal (MSL) complex is a chromatin modifying complex composed of five protein subunits and two non-coding RNAs. MSL is involved in X chromosome dosage compensation in males. (Adapted from FBrf0228243).	URS000007F891_7227,URS00003DAD4B_7227,P24785,O02193,P50535,P50534,P50536	10445033,23084835,25934013	MSL complex ; GO:0072487	dosage compensation ; GO:0007549	chromatin binding ; GO:0003682
FBgg0000702	M6A METHYLTRANSFERASE COMPLEX	MTC	m6A Methylosome	-	The m6A methyltransferase complex is a nuclear, multi-component enzyme involved in mediating N6-methyladenosine (m6A) modification in mRNAs. This modification modulates mRNA processing and activity. (Adapted from FBrf0234210 and FBrf0234211).	Q9Y091,Q9VCE6,Q9VLP7,Q7KMJ6,Q9W1R5	27919081,28675155,27919077	RNA N6-methyladenosine methyltransferase complex ; GO:0036396	mRNA methylation ; GO:0080009	mRNA (N6-adenosine)-methyltransferase activity ; GO:0001734
FBgg0000644	N-TERMINAL ACETYLTRANSFERASE A COMPLEX	NATA	N-TERMINAL ACETYLTRANSFERASE A	-	The N-terminal acetyltransferase A (NatA) complex acetylates Ser-, Ala-, Thr-, Gly-, Val- and Cys- N-termini after the initiator methionine is removed. (Adapted from PMID:19660096, PMID:22405572).	Q9VWI2,Q9VT75	26861501	NatA complex ; GO:0031415	N-terminal protein amino acid acetylation ; GO:0006474	peptide alpha-N-acetyltransferase activity ; GO:0004596
FBgg0000648	N-TERMINAL ACETYLTRANSFERASE B COMPLEX	NATB	N-TERMINAL ACETYLTRANSFERASE B	-	The N-terminal acetyltransferase B (NatB) complex catalyzes the acetylation of the N-terminal methionine of polypeptides with Met-Asp-, Met-Glu-, Met-Asn- or Met-Gln- N termini. (Adapted from PMID:19660096, PMID:22405572 and FBrf0234437).	M9PI14,Q9VDQ7	26861501,23152593	NatB complex ; GO:0031416	N-terminal protein amino acid acetylation ; GO:0006474	peptide alpha-N-acetyltransferase activity ; GO:0004596
FBgg0001645	NON-CANONICAL BRAHMA ASSOCIATED PROTEINS COMPLEX	NCBAP	-	ncBAF|ncBAP	Brahma (BRM) complexes are ATP-dependent chromatin remodeling complexes. The non-canonical BAP (ncBAP) complex is distinguished by the presence of a Bicra subunit. (Adapted from FBrf0247407.)	P10987,Q7K012,Q9VYG2,A0A0B4KI51,Q9VLX2,P25439,Q9VF03	33232675	brahma complex ; GO:0035060	chromatin remodeling ; GO:0006338	-
FBgg0001727	NEGATIVE ELONGATION FACTOR	NELF	-	-	The negative elongation factor (NELF) is a multisubunit transcription regulator complex. It binds with DRB sensitivity-inducing factor (DSIF) complex and RNA polymerase II elongation complex and induces transcriptional pausing. P-TEFb phosphorylates the repressive DSIF-NELF complex, causing NELF to dissociate from Pol II and promotes RNA polymerase II elongation. (Adapted from FBrf0211126, FBrf0203142 and FBrf0184223).	Q86NP2,Q9Y113,P92204,Q24134	33420323,20534440,15741180	NELF complex ; GO:0032021	negative regulation of transcription elongation from RNA polymerase II promoter ; GO:0034244	transcription elongation regulator activity ; GO:0003711
FBgg0000293	NORC COMPLEX	NORC	Nucleolar remodeling complex	-	NoRC (Nucleolar remodeling complex) is an ISWI ATPase-containing complex interacts involved in repressing rDNA transcription. (Adapted from PMID:25533489).	Q24368,A8DYA3	22426536	ISWI-type complex ; GO:0031010	chromatin remodeling ; GO:0006338	-
FBgg0000146	NUCLEAR PORE COMPLEX	NPC	Nucleoporins	Nup	The Nuclear Pore Complex (NPC) is a large protein complex embedded in the nuclear membrane that facilitates nucleocytoplasmic traffic. The NPC is composed of approximately 30 different proteins: the nucleoporins. The NPC displays 8-fold symmetry and each nucleoporin is present in multiple copies. From the central ring that forms the pore, filaments protrude into the cytoplasm (cytoplasmic filaments) and the nucleoplasm (nuclear basket). Many nucleoporins contain FG repeats which are thought to act as a diffusion barrier and docking sight for transport receptors (karyopherins). Export and import is controlled by the interaction of the karyopherins with localization and export sequences. (Adapted from FBrf0220062 and PMID:21495847).	Q9W351,Q9V4W1,A1Z6H7,Q9GYU8,A1Z8P9,Q9VCG4,Q9VWS2,Q9VBU8,Q9VE85,Q7K2X8,Q7K0D8,Q9V6B9,Q9VDV3,Q7JXF5,A1YK02,Q9XZ06,Q9VFE7,Q9VCH5,Q9V466,Q9VCW3,Q9VXE6,Q9V463,Q9VKJ3,A0A0B4K859,Q8IQV9,Q9W1X4,A0A0B4K7J2,Q9W2E7,Q9V3J4	16779818,20949036	nuclear pore ; GO:0005643	nucleocytoplasmic transport ; GO:0006913	structural constituent of nuclear pore ; GO:0017056
FBgg0000275	NUCLEOSOME REMODELING DEACETYLASE COMPLEX	NURD	Mi2-nucleosome remodelling and deacetylase|Mi-2/NuRD complex	dNuRD|Mi2-NURD	The nucleosome remodelling and deacetylase (NuRD) complex couples chromatin remodelling and histone deacetylation to mediate transcriptional repression. (Adapted from FBrf0228973 and FBrf0228920).	Q24572,M9PEA2,Q94517,A0A0B4KGZ0,Q0E8J0,O97159,A0A0B4KG70,M9PF79	19355820,20733004,22108599,27117189	NuRD complex ; GO:0016581	histone deacetylation ; GO:0016575|nucleosome mobilization ; GO:0042766	ATP hydrolysis activity ; GO:0016887|histone deacetylase activity ; GO:0004407
FBgg0000286	NUCLEOSOME REMODELING FACTOR	NURF	NUCLEOSOME REMODELING FACTOR (NURF)|Nucleosome Remodeling Factor	-	Nucleosome Remodeling Factor (NURF) is an ISWI ATPase-containing chromatin remodeling complex that catalyzes ATP-dependent nucleosome sliding. (Adapted from FBrf0228922 and FBrf0228920).	Q24572,Q9W0T1,Q24368,O77460	21920360,12502740,16821138,15020052,8521501	NURF complex ; GO:0016589	nucleosome mobilization ; GO:0042766	ATP-dependent chromatin remodeler activity ; GO:0140658
FBgg0000510	ORIGIN RECOGNITION COMPLEX	ORC	-	-	The Origin Recognition Complex (ORC) is a multi-subunit complex that binds replication origin during replication initiation. Many ORC subunits belong to the AAA+ superfamily of ATPases. (Adapted from FBrf0227879).	O16810,Q24168,Q7K2L1,Q9W102,Q24169,Q9Y1B2	24137536,25762138,10346817,27016737	nuclear origin of replication recognition complex ; GO:0005664	DNA replication initiation ; GO:0006270	-
FBgg0001639	POSITIVE TRANSCRIPTION ELONGATION FACTOR COMPLEX B	P-TEFB	-	-	The positive transcription elongation factor complex b (P-TEFb) is a cyclin dependent kinase complex required for the transition from abortive elongation into productive elongation in RNA polymerase II-mediated transcription. (Adapted from FBrf0103005.)	O17432,O96433	9593731	P-TEFb complex ; GO:0070691	transcription elongation from RNA polymerase II promoter ; GO:0006368	cyclin-dependent protein serine/threonine kinase activity ; GO:0004693
FBgg0001726	RNA POLYMERASE-ASSOCIATED FACTOR 1 COMPLEX	PAF1C	-	-	The RNA polymerase-associated factor 1 complex (PAF1C) is composed of five canonical protein components and is involved in the release of proximal-promoter paused RNA polymerase II. (Adapted from FBrf0237119 and FBrf0230368).	Q9VN55,Q94546,Q7K0X3,Q9VHI1,Q9W261	29078288,31110321	Cdc73/Paf1 complex ; GO:0016593	positive regulation of transcription elongation from RNA polymerase II promoter ; GO:0032968	RNA polymerase II complex binding ; GO:0000993
FBgg0001760	PAR COMPLEX	PAR	PAR-atypical PKC complex	-	The PAR complex is an evolutionarily conserved ternary protein kinase complex that plays an important role in the regulation of cell polarity required for asymmetric cleavage of many cell types. (Adapted from FBrf0238574 and FBrf0210666).	A1Z9X0,Q0KHR3,O97111	20392741,32385244,29651238	PAR polarity complex ; GO:0120157	establishment or maintenance of cell polarity ; GO:0007163	-
FBgg0000292	POLYBROMO-CONTAINING BRAHMA ASSOCIATED PROTEINS COMPLEX	PBAP	Polybromo-associated BAF complex	-	Brahma (BRM) complexes are ATP-dependent chromatin remodeling complexes. The Polybromo-containing Brahma associated proteins (PBAP) complex is distinguished by the presence of polybromo and Bap170 subunits. (Adapted from FBrf0192510.)	P10987,P02572,Q7K012,Q9VYG2,Q9W384,A1Z6M0,Q9VLX2,P25439,Q9VWF2,Q9VF03,Q9VC36,Q24090	33232675,16821138,18299390,15060132	brahma complex ; GO:0035060	chromatin remodeling ; GO:0006338	-
FBgg0001640	PREFOLDIN COMPLEX	PFDN	-	-	The prefoldin complex is a heterohexameric co-chaperone involved in the folding of proteins such as tubulin and actin. It binds the cytosolic chaperonin containing TCP-1 (CCT) complex and and transfers target proteins to it. (Adapted from FBrf0231608 and PMID:29427249).	Q9VGP6,Q9VMH8,Q9VTE5,Q9VRL3,Q9VCZ8,Q9VW56	22451918,27025979	prefoldin complex ; GO:0016272	chaperone-mediated protein folding ; GO:0061077	protein folding chaperone ; GO:0044183
FBgg0000903	CLASS IA PHOSPHATIDYLINOSITOL 3-KINASE COMPLEX	PI3K-IA	-	-	Class IA phosphoinositide 3-kinase (PI3K) is a heterodimeric complex of a regulatory and catalytic subunit and is a core component of many many signaling pathways. In vitro, PI3Ks can phosphorylate phosphatidylinositol (PtdIns), PtdIns(4)P and PtdIns(4,5)P2 to generate PtdIns(3)P, PtdIns(3,4)P2 and PtdIns(3,4,5)P3, respectively. (Adapted from PMID:24587488 and FBrf0227909).	Q7KTZ2,P91634	25449646,26839216,9169420	-	-	-
FBgg0001683	POMT1-POMT2 COMPLEX	POMT1-2C	PROTEIN O-MANNOSYLTRANSFERASE COMPLEX	PMT1-2C	The POMT1-POMT2 complex is a heterodimeric mannosyltransferase complex that transfers a mannose residue from dolichyl phosphate D-mannose to the oxygen atom of the hydroxyl group of selected serine/threonine residues of the dystroglycan protein. (Adapted from PMID:31285605 and FBrf0244700).	Q9VTK2,Q9W5D4	15271988,19969597,20644630	dolichyl-phosphate-mannose-protein mannosyltransferase complex ; GO:0031502	protein O-linked mannosylation ; GO:0035269	dolichyl-phosphate-mannose-protein mannosyltransferase activity ; GO:0004169
FBgg0000276	POLYCOMB REPRESSIVE DEUBIQUITINASE COMPLEX	PR-DUB	POLYCOMB REPRESSIVE DEUBIQUITINASE	-	The Polycomb repressive deubiquitinase (PR-DUB) removes monoubiquitin from histone H2A. (Adapted from FBrf0210760).	Q9V727,Q7K5N4	28778878,22994356,20436459	PR-DUB complex ; GO:0035517	monoubiquitinated histone H2A deubiquitination ; GO:0035522	thiol-dependent deubiquitinase ; GO:0004843
FBgg0000273	POLYCOMB REPRESSIVE COMPLEX 1 (CORE SUBUNITS)	PRC1	PRC1 complex	-	The Polycomb repressive complex 1 (PRC1) is a Polycomb group complex. It binds to histone H3K27me3 (histone H3 K27 methylation is catalyzed by PRC2) and monoubiquitinates H2A on K119. This leads to chromatin compaction, RNA polymerase II stalling and gene silencing. (Adapted from FBrf0179742 and FBrf0228921).	P26017,Q9W523,P39769,P35820,Q9VB08	25367972,22994356,27257261	PRC1 complex ; GO:0035102	heterochromatin assembly ; GO:0031507|histone H2A monoubiquitination ; GO:0035518	ubiquitin-protein transferase activity ; GO:0004842
FBgg0000280	POLYCOMB REPRESSIVE COMPLEX 2 (CORE SUBUNITS)	PRC2	ESC/E(Z) Complex|Extra Sex Combs/Enhancer of Zeste complex|PRC2 complex	-	The Polycomb repressive complex 2 (PRC2) is a Polycomb group complex. PRC2 catalyzes the trimethylation of K27 of histone H3 (H3K27me3) which serves to recruit PRC1. (Adapted from FBrf0188105).	Q24572,P42124,Q24338,Q9NJG9	28778878,22994356,21248841,27257261	ESC/E(Z) complex ; GO:0035098	histone methylation ; GO:0016571	histone methyltransferase activity ; GO:0042054
FBgg0001774	RHINO-DEADLOCK-CUTOFF COMPLEX	RDC	-	-	The Rhino-Deadlock-Cutoff (RDC) complex is a trimer that binds H3K9me3 and anchors itself onto dual-strand clusters. RDC complex regulates the non-canonical transcription and co-transcriptional processing of PIWI interacting RNA (piRNA) precursors and transposon silencing. (Adapted from FBrf0225218 and FBrf0250952).	Q9V629,Q9VIF5,Q7JXA8	34473737,24906153	Rhino-Deadlock-Cutoff Complex ; GO:1990469	positive regulation of piRNA transcription ; GO:0140543	piRNA cluster binding ; GO:1990470
FBgg0000196	RETROMER	RETRO	Retromer coat complex	-	The retromer coat complex is involved in the endosomal sorting of membrane proteins, particularly in the endosome-to-Golgi (retrograde) retrieval pathway. The complex can be divided into two subcomplexes, a cargo-selective trimer and a heterodimeric BAR-domain-containing sorting nexin complex that promotes formation of endosomal membrane tubules into which cargo proteins are sorted. (Adapted from PMID:23148298).	Q9VPC3,Q9VQQ6,Q9VG51,M9NDI3,Q9W552,Q9VPX5,Q9W277	21502137,25486452,26172538,22041890	endosome ; GO:0005768|retromer complex ; GO:0030904	retrograde transport, endosome to Golgi ; GO:0042147	-
FBgg0000597	RNA EXOSOME COMPLEX	RNA-EXO	-	-	The RNA exosome is a 3'-5' exonuclease complex present in the nucleus and cytoplasm that can process and degrade many types of RNAs, including mRNA, rRNA, snRNA, snoRNA and tRNA. In yeast and humans, the exosome has a barrel structure, the core of which is formed by a ring of six RNase PH domain subunits and a cap of three S1/KH-domain subunits. (Adapted from FBrf0210381 and PMID:27345150).	Q9VKJ4,Q9VC93,Q9VW53,Q9W1M9,Q9VFF3,Q8IPX7,Q29QQ9,Q8T4A9,Q9VGZ2,Q9VK19	12490954,12483225,16407406,20185544,27474443	exosome (RNase complex) ; GO:0000178	regulation of gene expression ; GO:0010468	-
FBgg0001647	RNA POLYMERASE I	RNAPI	-	-	RNA polymerase I (RNAP I) synthesizes the ribosomal RNA precursor that is processed into most ribosomal RNAs (rRNAs). It comprises 12-14 subunits (12 in D. melanogaster), ten of which form a structurally conserved catalytic core with additional subunits located on the periphery. Notably, five RNAP I subunits are shared with the other two nuclear RNAPs, and two others are shared between RNAPs I and III. (Adapted from FBrf0247389.)	P91875,P20028,Q9VMX3,Q9VIZ0,Q9VE94,Q9VM72,Q9VD81,Q7JZF5,Q24320,Q9VNZ3,Q6IGE3,Q9VC49	33274328	RNA polymerase I complex ; GO:0005736	transcription by RNA polymerase I ; GO:0006360	RNA polymerase I activity ; GO:0001054
FBgg0000351	RNA POLYMERASE II	RNAPII	DNA-dependent RNA polymerase II|DNA-directed RNA polymerase II	Pol II|RNA pol II|RPII	RNA Polymerase II (RNAP II) synthesizes mRNAs and a variety of non-coding RNAs, including snRNAs, snoRNAs, microRNAs, piRNAs and lncRNAs. It comprises 12-13 subunits (13 in D. melanogaster), ten of which form a structurally conserved catalytic core with additional subunits located on the periphery. Notably, five RNAP II subunits are shared with the other two nuclear RNAPs. For transcription initiation, RNAPII assembles with the general transcription factors at promoter DNA to form the pre-initiation complex. (Adapted from FBrf0247389, FBrf0228779, FBrf0213652, PMID:25693126, PMID:23463798 and PMID:17318225.)	P04052,P08266,O97183,Q9VEA5,Q7JZF5,Q24320,Q9VFB5,Q9VNZ3,P36958,Q9VJE4,Q6IGE3,Q9VC49,Q9VDY6	10908585,30190596,33274328	RNA polymerase II, core complex ; GO:0005665	transcription by RNA polymerase II ; GO:0006366	RNA polymerase II activity ; GO:0001055
FBgg0001648	RNA POLYMERASE III	RNAPIII	-	-	RNA polymerase III (RNAP III) synthesizes short, non-coding RNAs including tRNAs, the small 5S rRNA and the U6 snRNA. It comprises 17 subunits, ten of which form a structurally conserved catalytic core with additional subunits located on the periphery. Notably, five RNAP III subunits are shared among all three RNAPs and two others are shared between RNAPs I and III. (Adapted from FBrf0247389.)	Q9VMX3,Q9VIZ0,Q7JZF5,Q24320,Q9VNZ3,Q6IGE3,Q9VC49,A8JUY3,P25167,Q9VG60,Q8SYM9,Q9VP85,Q9VD25,Q86BI8,Q9VTL6,Q9VX99,A1ZBX4	33274328	RNA polymerase III complex ; GO:0005666	transcription by RNA polymerase III ; GO:0006383	RNA polymerase III activity ; GO:0001056
FBgg0001676	RNASE MRP COMPLEX	RNASEMRP	-	-	RNase MRP processes ribosomal RNA (rRNA) precursors at the A3 site allowing formation of the 5.8S pre-rRNA.  It is a ribonucleoprotein (RNP) complex, structurally and evolutionary related to the nuclear RNase P, and is found only in eukaryotes. RNase MRP shares most of its protein subunits with nuclear RNase P, though has a distinct catalytic RNA subunit. (Adapted from PMID:16998185 and PMID:20627997.)	Q7KVW2,Q9VSC6,Q9VVE0,URS00005704F6_7227,A8JRG8,Q9VAA7,Q2MGL3,Q0E9N4,Q9VPM0	25569672,16087735,16998185,20855541	ribonuclease MRP complex ; GO:0000172	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) ; GO:0000447	ribonuclease MRP activity ; GO:0000171
FBgg0001674	MITOCHONDRIAL RNASE P COMPLEX	RNASEP-M	mitochondrial PRORP|mt-RNase P complex|protein only RNase P|proteinaceous RNase P	-	Mitochondrial ribonuclease P is a eukaryotic-specific, protein-only enzyme that catalyzes 5' end maturation of mitochondrial precursor transfer RNAs. It comprises 3 subunits (none of which are homologous to the RNA-based RNase P proteins): a tRNA methyltransferase, a short-chain dehydrogenase/reductase, and a metallonuclease, which houses the RNase P active site. (Adapted from PMID:27187488.)	Q9W413,Q7JUX9,O18404	34199774,27131785	mitochondrial ribonuclease P complex ; GO:0030678	mitochondrial tRNA 5'-end processing ; GO:0097745	ribonuclease P activity ; GO:0004526
FBgg0001675	NUCLEAR RNASE P COMPLEX	RNASEP-N	-	-	Nuclear ribonuclease P (RNase P) is an essential endonuclease responsible for catalyzing 5' end maturation in precursor transfer RNAs (tRNAs) in the nucleus. It is a ribonucleoprotein (RNP) complex containing one conserved catalytic RNA subunit and a variable number of protein subunits - 8-10 in eukaryotes. (Adapted from PMID:27187488 and PMID:16998185.)	Q7KVW2,Q9VSC6,Q9VVE0,URS00001AD746_7227,A8JRG8,Q9VAA7,Q2MGL3,Q86B65,Q0E9N4,Q9VPM0	25569672,31287870,16087735,16998185	nucleolar ribonuclease P complex ; GO:0005655	tRNA 5'-end processing ; GO:0099116	ribonuclease P activity ; GO:0004526
FBgg0000096	RZZ COMPLEX	RZZ	Rod-Zwilch-Zw10 complex	-	The RZZ (Rod, Zwilch and Zw10)  complex is a kinetochore component that plays an essential role in spindle assembly checkpoint, blocking the metaphase-to-anaphase transition until all chromosomes properly aligned in a metaphase plate. In mammalian cells, the RZZ complex has a fourth component, Zwint-1. (Adapted from FBrf0219791).	Q9V9W7,Q9W4X9,Q9VA00	15922598,22685323,12686595	RZZ complex ; GO:1990423	spindle assembly checkpoint signaling ; GO:0071173	-
FBgg0000305	SAGA COMPLEX	SAGA	SPT-ADA-GCN5 ACETYLTRANSFERASE|SAGA complex	-	The Spt-Ada-Gcn5 Acetyltransferase (SAGA) complex is a chromatin modifying complex. SAGA can acetylate and deubiquitinate histone residues. Also SAGA has been shown to regulate the transcriptional activation of a subset of genes. (Adapted from FBrf0228923, FBrf0219841 and FBrf0233349).	Q8IP99,Q8IPA1,Q8I8V0,M9PHZ1,Q9VQB6,Q9VYX1,Q9VTZ1,Q8I8U7,Q9VVR1,Q9VPT4,Q9W0M7,Q9VHI4,Q9VVR6,Q9W2I4,Q9VGE2,Q9VX12,Q9VU86,Q27272,Q9XZT7,P49905,Q9VCN9	19609321,22426530,27185460,18188155,21764853	SAGA complex ; GO:0000124	histone acetylation ; GO:0016573|histone deubiquitination ; GO:0016578	histone acetyltransferase activity ; GO:0004402|thiol-dependent deubiquitinase ; GO:0004843
FBgg0000894	SCF-SLMB UBIQUITIN LIGASE COMPLEX	SCF-SLMB	Cullin1/Roc1a/SkpA/Slimb E3 ligase|SkpA-Cul1-slmb-Roc1a E3 ligase complex|Slimb-betaTrCP-SCF complex	-	SCF-slmb ubiquitin ligase complex ubiquitinates proteins, targeting them for degradation by the proteasome. (FBrf0217546).	Q24311,Q9W5E1,O77430,A0A0B4KHK1	22359584,24068890	SCF ubiquitin ligase complex ; GO:0019005	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process ; GO:0031146	ubiquitin protein ligase activity ; GO:0061630
FBgg0001762	SCRIBBLE COMPLEX	SCRIBC	Scrib-Dlg complex	-	The scribble complex is the basolateral polarity complex that localizes to the adherens junction and regulate cell polarity. Scribble complex works with the PAR and Crumbs polarity complexes to regulate apicobasal polarity and asymmetry in cells. (Adapted from FBrf0246382 and FBrf0220779).	P31007,P08111,Q7KRY7	32414916,32665243	-	establishment or maintenance of cell polarity ; GO:0007163	-
FBgg0001729	SUPER ELONGATION COMPLEX	SEC	-	-	The super elongation complex (SEC) is one of the most active forms of positive transcription elongation factor b (P-TEFb)-containing complexes that acts as a positive regulator of the release of RNA polymerase II from promoter-proximal pausing. (Adapted from FBrf0235091, FBrf0217100, PMID:27223670 and PMID:22895430).	Q7JRJ1,A0A0B4KG69,Q9VQI9,Q9VW51	28350987,18562276,22195968	super elongation complex ; GO:0032783	positive regulation of transcription elongation from RNA polymerase II promoter ; GO:0032968	-
FBgg0001283	SEC61 TRANSLOCON	SEC61T	-	-	The Sec61 translocon is a heterotrimeric complex comprising alpha, beta and gamma subunits localized to the membrane of the endoplasmic reticulum. Nascent polypeptides bound to the signal recognition particle (SRP) first interact with the SRP receptor and are then transferred to the Sec61 translocon, which either integrates the protein into the lipid bilayer or translocates it across the membrane to enter the secretory pathway. (Adapted from PMID:23414305.)	Q9V668,Q8STG9,Q7JZN0,Q9VWE9	15901661	endoplasmic reticulum membrane ; GO:0005789|Sec61 translocon complex ; GO:0005784	SRP-dependent cotranslational protein targeting to membrane, translocation ; GO:0006616	protein transmembrane transporter activity ; GO:0008320
FBgg0001552	siRNA RISC-LOADING COMPLEX	siRLC	Short interfering RNA-RNA-induced silencing complex loading complex	-	The siRNA-RISC loading complex binds siRNAs and loads it onto AGO2 to form an RNA-induced silencing complex (RISC). (Adapted from FBrf0237457.)	Q9VUQ5,A1ZAW0,Q9VLW8	17662944	RISC-loading complex ; GO:0070578	siRNA loading onto RISC involved in RNA interference ; GO:0035087	-
FBgg0000060	SMC5/6 COMPLEX	SMC5-6	Smc5/6 protein complex|Smc5/Smc6/MAGE Complex	SMC5/6	The SMC5/6 protein complex consists of a Structural Maintenance of Chromosomes (SMC) heterodimer and Non-Smc-Element (Nse) proteins. It is important for genome stability and is required for homologous DNA recombination-based processes. The complex contains a SUMO-ligase and a putative ubiquitin-ligase. (Adapted from FBrf0221151 and PMID:19308705).	Q9VXT3,Q9VCB8,Q9I7L4,Q9VMA0,Q9VKV4,Q9VVH7,Q8IPT2	22855829,23555814	Smc5-Smc6 complex ; GO:0030915	DNA repair ; GO:0006281	-
FBgg0001452	SIGNAL PEPTIDASE COMPLEX	SPC	-	-	Signal sequences are required for translocating secretory and membrane proteins into the endoplasmic reticulum (ER). At the ER membrane, the signal peptidase complex (SPC) cleaves off signal peptides before releasing the proteins to their destination. The SPC comprises four subunits in yeast and Drosophila, and five subunits in mammals - Sec11p/twr is the single catalytic subunit in yeast/flies, whereas 2 homologous subunits, SEC11A (aka SPC18) and SEC11C (aka SPC21) have catalytic activity in the mammalian complex. (Adapted from PMID:29265467.)	Q9VAL0,Q9VCA9,Q9VYY2,O97066	15901661,29265467,23573290	signal peptidase complex ; GO:0005787	signal peptide processing ; GO:0006465	serine-type endopeptidase activity ; GO:0004252
FBgg0001281	SIGNAL RECOGNITION PARTICLE	SRP	SRP COMPLEX	-	The signal recognition particle (SRP) is a universally conserved protein targeting machine that in eukaryotes comprises six proteins and a 7S RNA (aka 7SL RNA). SRP-mediated protein targeting is a strictly cotranslational process that begins when a nascent polypeptide destined for the endoplasmic reticulum emerges from the ribosome. The N-terminal signal sequence on the nascent polypeptide serves as the 'signal' that allows the ribosome-nascent chain (RNC) complex to engage the SRP. Through interaction with the SRP receptor, the RNC is transferred to the Sec61 translocon, which then either integrates the protein into the lipid bilayer or translocates it across the membrane to enter the secretory pathway. (Adapted from PMID:23414305.)	URS00005977F9_7227,Q9VSC1,Q9VDL0,P49963,Q9V3D9,Q9VSS2,Q9VDK7	15901661	signal recognition particle, endoplasmic reticulum targeting ; GO:0005786	SRP-dependent cotranslational protein targeting to membrane ; GO:0006614	-
FBgg0001282	SIGNAL RECOGNITION PARTICLE RECEPTOR	SRPR	-	SR	The eukaryotic signal recognition particle (SRP) receptor is a heterodimeric complex comprising a soluble alpha subunit and a beta subunit that is an integral membrane protein of the endoplasmic reticulum. Nascent SRP-bound polypeptides interact with the SRP receptor and are then transferred to the Sec61 translocon, which either integrates the protein into the lipid bilayer or translocates it across the membrane to enter the secretory pathway. (Adapted from PMID:23414305.)	Q9U5L1,Q9VSN9	15901661	endoplasmic reticulum membrane ; GO:0005789|signal recognition particle receptor complex ; GO:0005785	SRP-dependent cotranslational protein targeting to membrane, docking ; GO:0006615	-
FBgg0000915	STRIATIN-INTERACTING PHOSPHATASE AND KINASE COMPLEX	STRIPAK	SIP complex|STRIPAK complex	-	Striatin interacting phosphatase and kinase (STRIPAK)/STRIPAK-like complexes contain a protein phosphatase type 2A (mts), a striatin (Cka) and other regulatory subunits. Kinases, such as GckIII, are often associated with the complex (FBrf0211636). The STRIPAK complex has a regulatory role in many signaling pathways and cellular processes. (Adapted from FBrf0223805).	Q9VF70,D3DML3,Q9VM65,Q7K0E3,P23696,Q8SX68,P36179,Q9W5R5,Q8IRD5	24643257,24333164,20797625	FAR/SIN/STRIPAK complex ; GO:0090443	-	-
FBgg0001770	TESTIS-SPECIFIC GAMMA-TUBULIN RING COMPLEX	T-G-TURC	-	-	Testis-Specific Gamma-tubulin ring complex (t-gammaTuRC) is a tissue specific gamma-tubulin multiprotein complex localized to the testis during spermatogenesis in D.mel. (Adapted from FBrf0251596).	Q9VS91,Q4LDP4,Q8IRA1,P23257	34660584	gamma-tubulin complex ; GO:0000930	spermatogenesis ; GO:0007283	-
FBgg0000316	TRITHORAX ACETYLATION COMPLEX 1	TAC1	Trx Acetylation Complex	-	The Trithorax Acetylation Complex 1 (TAC1) possesses histone H3 K4 methyltransferase and histone acetyltransferase activities. (Adapted from FBrf0192625 and FBrf0167942).	M9MS40,Q9VGH9,P20659	11701926,14979030,17174895,22108599	histone acetyltransferase complex ; GO:0000123|histone methyltransferase complex ; GO:0035097	histone acetylation ; GO:0016573|histone H3-K4 methylation ; GO:0051568	histone acetyltransferase activity ; GO:0004402|histone methyltransferase activity (H3-K4 specific) ; GO:0042800
FBgg0001634	THREONYL-CARBAMOYL TRANSFERASE COMPLEX	TCTC	Threonyl-carbamoyl Transferase Complex|EKC/KEOPS complex	-	The Threonyl-carbamoyl Transferase Complex is an ancient and universally conserved multiprotein complex that catalyzes the transfer of threonyl-carbamoyl to tRNAs, resulting in N6-threonylcarbamoyladenosine (t[6]A) modification at position 37. t[6]A is universal and present in nearly all tRNAs that decode 'ANN' codons. (Adapted from FBrf0223088, PMID:25629598 and PMID:31102979.)	Q9VV41,Q9VRJ6,E1JIY8	23823807,28272317,25629598	EKC/KEOPS complex ; GO:0000408	tRNA threonylcarbamoyladenosine modification ; GO:0002949	-
